OTH-405 Zestawienie dokumentów magazynowych za okres od 2017-02-01 do 2017-02-28Oddzia³ (06) 210-LEXUS WARSZAWA-PULAWSKA (210), Dzia³ (21) 210 MAGAZYN LEXUSPodsumowania po dokumentach w³asnychWybrano dokumenty z fakturami/specyfikacjami sprzeda¿y i bez faktur/specyfikacji sprzeda¿y;;;;;;;;
Symb.dok.;Nr dokumentu;z dnia;Komórka organizacyjnaKontrahent;Nr dokumentuzakupowego/sprzeda¿y/zlecenia;;Iloœæpozycji;Wart. wgcen zak.;Wart. wgcen sprz.

RwZ;06/21/200/0000332/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000255/2017;;1;2403.76;2603.40
RwZ;06/21/200/0000333/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000254/2017;;3;391.68;460.80
RwZ;06/21/200/0000334/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000253/2017;;10;610.91;1152.43
RwZ;06/21/200/0000335/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000253/2017;;1;8.84;23.40
RwZ;06/21/200/0000336/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000253/2017;;1;7.34;10.74
RwZ;06/21/200/0000337/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000257/2017;;1;972.30;1073.16
RwZ;06/21/200/0000338/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000258/2017;;3;391.68;460.80
RwZ;06/21/200/0000339/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000253/2017;;1;7.30;14.59
RwZ;06/21/200/0000340/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000253/2017;;2;602.69;899.52
RwZ;06/21/200/0000341/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000260/2017;;1;387.84;606.00
RwZ;06/21/200/0000342/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000256/2017;;12;626.91;1230.67
RwZ;06/21/200/0000343/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000256/2017;;1;1536.52;2282.63
RwZ;06/21/200/0000344/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000256/2017;;1;2.12;9.70
RwZ;06/21/200/0000345/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000253/2017;;1;236.24;342.40
RwZ;06/21/200/0000346/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000253/2017;;1;62.48;79.80
RwZ;06/21/200/0000347/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000256/2017;;3;20.93;36.09
RwZ;06/21/200/0000348/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000261/2017;;3;400.89;460.80
RwZ;06/21/200/0000349/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000256/2017;;1;5.24;6.81
RwZ;06/21/200/0000350/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000253/2017;;1;21.87;30.78
RwZ;06/21/200/0000351/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000262/2017;;1;14.58;14.97
RwZ;06/21/200/0000352/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000253/2017;;1;13.00;22.59
RwZ;06/21/200/0000353/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000253/2017;;1;4.43;12.85
RwZ;06/21/200/0000354/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000263/2017;;1;7.29;7.49
RwZ;06/21/200/0000355/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000266/2017;;2;353.57;415.96
RwZ;06/21/200/0000356/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000259/2017;;1;1054.80;1551.20
RwZ;06/21/200/0000357/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000005/2017;;1;5574.28;7851.08
RwZ;06/21/200/0000358/2017;2017-02-01;100-Serwis mechaniczny;Zl 06/11/100/0000259/2017;;2;259.41;352.20
RwZ;06/21/200/0000359/2017;2017-02-02;100-Serwis mechaniczny;Zl 06/11/100/0000268/2017;;3;400.89;460.80
RwZ;06/21/200/0000360/2017;2017-02-02;100-Serwis mechaniczny;Zl 06/11/100/0000270/2017;;3;391.68;460.80
