1.;06/11/100/0000005/2017;VEC;2017-01-02;2017-02-01;40793;243/00011/17/X/210;2017-02-28;268.80;;5574.28;0.00;5843.08
2.;06/11/100/0000087/2017;WSV;2017-01-16;2017-01-31;40718;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
3.;06/11/100/0000113/2017;PMD;2017-01-17;2017-02-13;;155/00043/17/A1/210;2017-02-13;100.80;;6.72;0.00;107.52
4.;06/11/100/0000114/2017;PMD;2017-01-17;2017-02-13;;155/00045/17/A1/210;2017-02-13;201.60;;6.72;0.00;208.32
5.;06/11/100/0000115/2017;PMD;2017-01-17;2017-02-13;;155/00039/17/A1/210;2017-02-13;201.60;;13.43;0.00;215.03
6.;06/11/100/0000116/2017;PMD;2017-01-17;2017-02-13;;155/00040/17/A1/210;2017-02-13;100.80;;6.72;0.00;107.52
7.;06/11/100/0000117/2017;PMD;2017-01-17;2017-02-13;;155/00048/17/A1/210;2017-02-13;100.80;;6.72;0.00;107.52
8.;06/11/100/0000118/2017;PMD;2017-01-17;2017-02-13;;155/00041/17/A1/210;2017-02-13;100.80;;6.72;0.00;107.52
9.;06/11/100/0000119/2017;PMD;2017-01-17;2017-02-13;;155/00047/17/A1/210;2017-02-13;201.60;;6.72;0.00;208.32
10.;06/11/100/0000120/2017;PMD;2017-01-17;2017-02-13;;155/00046/17/A1/210;2017-02-13;100.80;;6.72;0.00;107.52
11.;06/11/100/0000121/2017;PMD;2017-01-17;2017-02-13;;155/00044/17/A1/210;2017-02-13;100.80;;6.72;0.00;107.52
12.;06/11/100/0000122/2017;PMD;2017-01-17;2017-02-13;;155/00042/17/A1/210;2017-02-13;100.80;;6.72;0.00;107.52
13.;06/11/100/0000145/2017;KDP;2017-01-20;2017-02-01;;144/00011/17/A1/210;2017-02-01;336.00;;260.82;0.00;596.82
14.;06/11/100/0000192/2017;NMK;2017-01-25;2017-02-22;;100/00195/17/1/210;2017-02-22;2695.00;;0.00;0.00;2695.00
15.;06/11/100/0000194/2017;KDP;2017-01-25;2017-02-01;;144/00010/17/A1/210;2017-02-01;336.00;;272.49;0.00;608.49
16.;06/11/100/0000222/2017;DNS;2017-01-27;2017-02-07;;155/00034/17/A1/210;2017-02-07;285.60;;2761.79;0.00;3047.39
17.;06/11/100/0000222/2017;PMD;2017-01-27;2017-02-07;;155/00034/17/A1/210;2017-02-07;100.80;;226.09;0.00;326.89
18.;06/11/100/0000241/2017;WSV;2017-01-31;2017-01-31;40709;243/00011/17/X/210;2017-02-28;319.20;;353.57;0.00;672.77
19.;06/11/100/0000243/2017;WSV;2017-01-31;2017-01-31;40734;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
20.;06/11/100/0000244/2017;NMK;2017-01-31;2017-02-01;;100/00121/17/1/210;2017-02-01;0.00;;864.40;0.00;864.40
21.;06/11/100/0000244/2017;PMK;2017-01-31;2017-02-01;;100/00121/17/1/210;2017-02-01;2509.40;;460.09;0.00;2969.49
22.;06/11/100/0000247/2017;WSV;2017-01-31;2017-01-31;40736;243/00011/17/X/210;2017-02-28;957.60;;391.68;0.00;1349.28
23.;06/11/100/0000248/2017;PMK;2017-01-31;2017-02-01;;100/00122/17/1/210;2017-02-01;665.00;;183.55;0.00;848.55
24.;06/11/100/0000248/2017;WSV;2017-01-31;2017-01-31;40717;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
25.;06/11/100/0000249/2017;WSV;2017-01-31;2017-02-03;40857;243/00011/17/X/210;2017-02-28;252.00;;344.26;0.00;596.26
26.;06/11/100/0000250/2017;WSV;2017-01-31;2017-01-31;40732;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
27.;06/11/100/0000251/2017;WSV;2017-01-31;2017-01-31;40733;243/00011/17/X/210;2017-02-28;319.20;;353.57;0.00;672.77
28.;06/11/100/0000252/2017;WSV;2017-01-31;2017-01-31;40726;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
29.;06/11/100/0000253/2017;PMK;2017-01-31;2017-02-03;;100/00128/17/1/210;2017-02-03;1953.00;;1575.10;0.00;3528.10
30.;06/11/100/0000254/2017;WSV;2017-02-01;2017-02-01;40758;243/00011/17/X/210;2017-02-28;957.60;;391.68;0.00;1349.28
31.;06/11/100/0000255/2017;NMK;2017-02-01;2017-02-01;;100/00119/17/1/210;2017-02-01;266.00;;2403.76;0.00;2669.76
32.;06/11/100/0000256/2017;PMK;2017-02-01;2017-02-01;;100/00123/17/1/210;2017-02-01;1302.00;;2191.72;0.00;3493.72
33.;06/11/100/0000257/2017;NMK;2017-02-01;2017-02-01;;100/00120/17/1/210;2017-02-01;101.85;;972.30;0.00;1074.15
34.;06/11/100/0000258/2017;WSV;2017-02-01;2017-02-01;40772;243/00011/17/X/210;2017-02-28;957.60;;391.68;0.00;1349.28
35.;06/11/100/0000259/2017;PMD;2017-02-01;2017-02-06;;155/00033/17/A1/210;2017-02-06;268.80;;1314.21;0.00;1583.01
36.;06/11/100/0000261/2017;WSV;2017-02-01;2017-02-01;40787;243/00011/17/X/210;2017-02-28;957.60;;400.89;0.00;1358.49
37.;06/11/100/0000262/2017;DNS;2017-02-01;2017-02-13;;155/00038/17/A1/210;2017-02-13;100.80;;0.00;0.00;100.80
38.;06/11/100/0000262/2017;PMD;2017-02-01;2017-02-13;;155/00038/17/A1/210;2017-02-13;100.80;;14.58;0.00;115.38
39.;06/11/100/0000263/2017;PMD;2017-02-01;2017-02-13;;155/00037/17/A1/210;2017-02-13;201.60;;7.29;0.00;208.89
40.;06/11/100/0000264/2017;NMK;2017-02-01;2017-02-25;;100/00205/17/1/210;2017-02-25;0.00;;1818.69;200.00;2018.69
41.;06/11/100/0000265/2017;WSV;2017-02-01;2017-02-01;40785;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
42.;06/11/100/0000266/2017;WSV;2017-02-01;2017-02-01;40795;243/00011/17/X/210;2017-02-28;319.20;;353.57;0.00;672.77
43.;06/11/100/0000267/2017;WSV;2017-02-01;2017-02-01;40794;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
44.;06/11/100/0000268/2017;WSV;2017-02-02;2017-02-02;40806;243/00011/17/X/210;2017-02-28;957.60;;400.89;0.00;1358.49
45.;06/11/100/0000269/2017;PMD;2017-02-02;2017-02-16;;155/00051/17/A1/210;2017-02-16;100.80;;7.29;0.00;108.09
46.;06/11/100/0000270/2017;NMK;2017-02-02;2017-02-02;;100/00127/17/1/210;2017-02-02;0.00;;6.55;0.00;6.55
47.;06/11/100/0000270/2017;WSV;2017-02-02;2017-02-02;40816;243/00011/17/X/210;2017-02-28;957.60;;391.68;0.00;1349.28
48.;06/11/100/0000271/2017;NMK;2017-02-02;2017-02-02;;100/00126/17/1/210;2017-02-02;0.00;;90.41;0.00;90.41
49.;06/11/100/0000271/2017;PMK;2017-02-02;2017-02-02;;100/00126/17/1/210;2017-02-02;869.40;;799.61;0.00;1669.01
50.;06/11/100/0000271/2017;WSV;2017-02-02;2017-02-02;40822;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
51.;06/11/100/0000272/2017;NMK;2017-02-02;2017-02-02;;100/00124/17/1/210;2017-02-02;99.75;;39.61;0.00;139.36
52.;06/11/100/0000273/2017;WSV;2017-02-02;2017-02-03;40854;243/00011/17/X/210;2017-02-28;319.20;;353.57;0.00;672.77
53.;06/11/100/0000274/2017;WSV;2017-02-02;2017-02-02;40803;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
54.;06/11/100/0000275/2017;WSV;2017-02-02;2017-02-02;40825;243/00011/17/X/210;2017-02-28;957.60;;400.89;0.00;1358.49
55.;06/11/100/0000277/2017;PMK;2017-02-02;2017-02-02;;100/00125/17/1/210;2017-02-02;630.00;;389.55;0.00;1019.55
56.;06/11/100/0000278/2017;PMK;2017-02-02;2017-02-03;;100/00132/17/1/210;2017-02-03;1842.40;;1754.09;0.00;3596.49
